employee_id,age,gender,department,job_level,years_experience,work_mode,weekly_work_hours,meetings_per_week,tasks_completed_per_week,collaboration_score,training_hours_per_year,salary_usd,last_promotion_months_ago,manager_rating,self_rating,sick_days_per_year,overtime_frequency,work_life_balance_score,stress_level,sleep_hours_avg,exercise_days_per_week,num_direct_reports,project_success_rate,remote_tools_proficiency,burnout_risk,productivity_score
EMP0052,50,Female,Data Science,Junior,30,Hybrid,46,9,27,8.92,2.0,70797,28,,1.7,16,Always,1.63,8,7.0,5.0,6,0.94,3,1,100.0
EMP0053,39,Female,Marketing,Mid,30,Remote,48,2,25,1.41,90.0,80950,4,4.3,4.6,20,Sometimes,5.36,10,7.1,4.0,2,0.51,7,0,82.1
EMP0054,47,Male,Engineering,Senior,33,Hybrid,39,3,27,7.58,,164554,35,1.7,2.0,15,Never,5.22,3,5.0,4.0,10,0.81,6,0,100.0
EMP0055,55,Female,Data Science,Senior,8,Hybrid,31,16,8,8.85,79.0,137339,18,1.0,1.4,12,Rarely,3.35,8,6.8,6.0,1,0.95,9,1,59.95
EMP0056,31,Male,Finance,Junior,21,Hybrid,49,21,25,1.88,69.0,148431,63,1.2,4.0,21,Never,9.29,3,6.7,5.0,0,0.72,4,0,88.88
EMP0057,57,Male,Operations,Junior,12,Remote,30,19,35,4.93,6.0,175710,21,2.0,1.7,3,Often,4.76,4,7.6,5.0,5,0.93,4,0,100.0
EMP0058,35,Female,Marketing,Mid,24,Hybrid,42,12,25,9.66,49.0,56173,33,1.5,2.5,3,Always,8.78,10,6.4,6.0,8,0.47,6,1,87.34
EMP0059,52,Male,Marketing,Mid,17,Remote,52,11,30,8.51,13.0,179294,55,3.1,1.1,20,Always,1.99,7,8.9,4.0,2,0.7,8,1,100.0
EMP0060,36,Female,Data Science,Junior,11,Remote,46,5,39,5.41,,53095,16,4.4,1.5,13,Often,3.87,3,6.6,0.0,4,0.67,3,0,100.0
EMP0061,29,Male,Engineering,Mid,16,On-site,60,6,28,7.86,78.0,158554,55,3.9,1.7,4,Never,2.59,4,5.9,0.0,8,0.4,8,1,100.0
EMP0062,35,Female,Finance,Lead,14,Hybrid,53,5,15,8.5,46.0,167511,16,1.9,1.2,15,Never,4.68,8,5.3,0.0,8,0.67,8,1,76.45
EMP0063,44,Male,Engineering,Manager,14,Remote,39,14,33,4.13,32.0,160614,17,2.6,3.6,13,Often,2.0,4,5.9,2.0,6,0.62,7,1,100.0
EMP0064,42,Non-binary,HR,Mid,14,Hybrid,45,14,7,9.03,42.0,171447,44,3.0,4.3,29,Sometimes,4.97,9,5.5,1.0,3,0.8,7,1,55.85
EMP0065,37,Female,HR,Lead,12,Hybrid,44,19,5,5.23,90.0,124023,55,4.2,2.5,13,Sometimes,4.18,4,6.3,4.0,10,0.96,5,0,57.02
EMP0066,39,Male,Operations,Mid,16,On-site,32,3,23,5.75,28.0,142181,49,4.4,4.5,13,Rarely,3.01,4,8.5,3.0,1,0.45,2,0,91.86
EMP0067,45,Female,Data Science,Mid,31,Hybrid,37,17,26,10.0,56.0,55600,57,4.6,1.9,24,Never,6.78,5,4.7,5.0,1,0.6,2,0,100.0
EMP0068,47,Non-binary,Data Science,Junior,8,Hybrid,40,2,18,8.59,4.0,37466,17,3.0,2.3,23,Never,9.56,1,4.8,5.0,3,0.67,10,0,95.6
EMP0069,46,Male,Data Science,Senior,19,Hybrid,30,20,18,4.26,92.0,144934,6,3.8,1.6,24,Often,2.86,7,6.2,4.0,0,0.67,8,1,80.0
EMP0070,50,Male,Operations,Manager,25,Remote,45,10,20,1.09,95.0,88276,9,1.4,3.5,28,Often,7.41,9,4.9,4.0,3,0.86,6,1,55.33
EMP0071,36,Female,HR,Senior,26,Remote,43,4,37,6.64,59.0,41928,68,3.3,2.7,13,Sometimes,7.68,9,,4.0,11,0.67,8,0,100.0
EMP0072,22,Female,Engineering,Mid,20,Hybrid,31,8,17,7.34,69.0,90309,2,2.0,3.5,18,Never,5.48,1,6.9,5.0,10,0.42,3,0,74.29
EMP0073,46,Female,Operations,Senior,17,Hybrid,48,11,16,6.86,1.0,151196,43,2.7,4.0,29,Never,9.08,6,6.4,6.0,5,0.83,1,0,70.85
EMP0074,28,Female,Operations,Junior,12,Hybrid,50,2,37,9.71,69.0,44404,69,3.5,3.2,2,Always,9.7,3,7.0,4.0,5,0.93,6,0,100.0
EMP0075,30,Male,Engineering,Lead,15,Remote,46,11,37,8.77,42.0,148187,13,2.0,3.5,16,Rarely,4.26,4,7.2,5.0,6,0.71,2,0,100.0
EMP0076,45,Male,Data Science,Mid,8,Remote,42,22,33,5.04,3.0,145449,3,1.2,4.7,13,Rarely,6.86,8,8.1,1.0,4,0.75,9,0,100.0
EMP0077,22,Female,Finance,Mid,11,Hybrid,49,10,9,1.57,55.0,62684,17,1.0,2.2,9,Sometimes,6.96,4,7.0,3.0,8,0.5,5,0,30.35
EMP0078,29,Male,Engineering,Senior,18,Remote,50,16,10,5.28,92.0,103591,51,1.1,2.4,12,Never,4.63,8,7.9,0.0,1,0.53,5,1,41.8
EMP0079,45,Male,HR,Senior,6,Hybrid,47,16,35,7.2,58.0,154821,37,1.0,3.9,21,Always,3.85,4,6.6,6.0,1,0.54,10,1,100.0
EMP0080,32,Female,Marketing,Junior,34,Remote,38,4,20,6.47,88.0,37682,19,1.4,3.4,3,Never,9.4,9,7.0,3.0,3,0.66,8,0,69.93
EMP0081,38,Female,Marketing,Senior,17,Hybrid,47,6,35,5.84,8.0,146186,43,2.0,1.7,10,Often,8.11,6,7.0,4.0,3,0.96,6,0,100.0
EMP0082,29,Female,Operations,Junior,15,On-site,54,10,29,5.22,2.0,56832,50,1.9,2.5,14,Sometimes,2.03,1,6.8,3.0,3,0.71,3,0,100.0
EMP0083,56,Female,Marketing,Senior,3,Remote,40,23,37,3.64,89.0,51997,18,4.9,2.9,14,Rarely,2.08,10,6.7,4.0,0,0.52,9,1,100.0
EMP0084,56,Female,Finance,Lead,24,Hybrid,61,10,17,3.5,47.0,69640,67,2.2,2.7,29,Never,9.3,2,8.7,3.0,3,0.56,10,1,68.03
EMP0085,54,Female,Data Science,Lead,31,Remote,40,24,14,5.5,,75491,65,1.5,1.7,23,Sometimes,1.73,7,7.3,2.0,11,0.63,4,1,61.08
EMP0086,26,Female,HR,Senior,12,Hybrid,45,8,28,2.45,90.0,98043,12,3.2,4.7,1,Rarely,7.2,10,6.0,3.0,4,0.77,10,0,94.64
EMP0087,49,Male,Finance,Mid,16,Hybrid,39,24,14,4.07,99.0,147175,61,4.4,4.0,10,Never,3.04,7,9.3,0.0,8,0.66,4,0,62.23
EMP0088,28,Male,HR,Junior,5,Hybrid,46,13,35,3.92,95.0,163568,60,3.7,2.9,1,Always,1.32,3,6.0,0.0,2,0.64,2,1,100.0
EMP0089,30,Female,HR,Senior,18,Hybrid,31,10,17,6.28,0.0,149250,29,2.2,3.7,22,Sometimes,1.54,1,6.5,,2,0.74,3,0,81.57
EMP0090,29,Female,Data Science,Mid,12,On-site,40,7,7,1.6,56.0,107725,29,3.2,4.6,28,Never,4.36,8,5.5,3.0,4,0.55,4,1,36.33
EMP0091,33,Male,Operations,Mid,25,Remote,36,24,38,8.47,52.0,163131,50,3.9,1.5,4,Rarely,1.7,10,7.4,5.0,9,0.45,7,1,100.0
EMP0092,55,Male,Marketing,Mid,13,Remote,46,3,32,6.06,15.0,80520,47,3.9,2.0,12,Rarely,6.37,10,8.5,5.0,5,0.41,3,0,100.0
EMP0093,54,Male,Data Science,Junior,30,On-site,52,10,23,7.04,50.0,97919,32,3.7,3.2,0,Always,6.83,7,4.7,,2,0.55,8,0,88.78
EMP0094,44,Male,Finance,Senior,3,Hybrid,50,18,27,7.33,74.0,144869,18,4.5,4.2,6,Sometimes,4.36,10,6.2,3.0,0,0.45,8,0,100.0
EMP0095,45,Female,Operations,Junior,7,On-site,30,2,36,3.62,89.0,99442,70,4.5,1.1,6,Sometimes,7.69,8,7.8,5.0,9,0.6,10,0,100.0
EMP0096,58,Male,Finance,Senior,24,Hybrid,61,20,17,5.23,54.0,140246,56,3.3,4.9,9,Never,5.41,1,5.2,1.0,7,0.86,2,1,85.76
EMP0097,56,Female,Operations,Mid,12,On-site,47,7,37,9.61,0.0,144687,18,2.7,2.8,5,Rarely,4.87,3,7.2,3.0,11,0.83,4,0,100.0
EMP0098,43,Female,Finance,Junior,31,Hybrid,38,6,38,7.9,89.0,158447,40,3.6,2.4,19,Rarely,4.66,2,4.9,0.0,0,0.77,8,0,100.0
EMP0099,48,Female,Data Science,Mid,27,Hybrid,46,3,37,9.73,27.0,96477,41,4.3,2.2,11,Always,4.88,1,7.0,6.0,1,0.91,1,0,100.0
EMP0100,56,Female,Operations,Junior,29,On-site,46,10,9,7.72,52.0,35244,51,1.0,1.7,12,Always,9.71,5,6.6,5.0,2,0.57,1,0,50.1
EMP0101,22,Male,Operations,Mid,2,Hybrid,39,15,7,2.58,57.0,114453,3,5.0,4.2,23,Sometimes,7.13,3,10.0,,5,0.93,4,0,57.47
EMP0102,56,Female,HR,Senior,27,Remote,46,5,11,1.58,72.0,162962,3,1.7,4.8,27,Rarely,3.84,10,7.4,5.0,3,0.64,2,1,42.64
EMP0103,58,Male,HR,Junior,2,Remote,40,5,28,6.2,59.0,106303,4,2.9,2.7,10,Never,7.6,8,4.0,0.0,3,0.64,1,1,100.0
EMP0104,35,Male,Engineering,Lead,33,Remote,41,22,26,4.22,58.0,63390,40,4.5,4.8,17,Often,3.97,6,6.4,1.0,8,0.64,8,1,100.0
EMP0105,24,Female,Finance,Junior,15,Remote,39,16,27,3.48,21.0,45247,60,1.9,4.3,1,Never,2.13,10,7.5,3.0,5,0.46,2,1,83.77
EMP0106,22,Male,HR,Junior,21,Remote,33,9,34,8.26,7.0,64583,54,,2.9,15,Always,5.28,9,6.0,5.0,11,0.99,4,1,100.0
EMP0107,26,Male,Engineering,Senior,31,Hybrid,46,5,22,4.3,48.0,174148,12,1.5,3.7,1,Never,7.76,9,6.0,2.0,1,0.48,3,0,66.65
EMP0108,47,Female,HR,Mid,7,Hybrid,49,17,36,3.85,41.0,170386,13,2.6,2.7,18,Rarely,4.4,6,6.0,6.0,6,0.6,2,0,100.0
EMP0109,35,Male,Finance,Junior,7,Hybrid,49,22,11,8.65,26.0,63670,59,,3.2,5,Sometimes,8.82,2,7.2,,2,0.59,8,0,80.01
EMP0110,48,Female,Operations,Mid,5,Hybrid,51,5,37,8.62,38.0,159920,71,,1.2,0,Often,4.48,9,5.0,6.0,8,0.44,3,1,100.0
EMP0111,30,Male,Marketing,Mid,13,Remote,47,17,9,4.21,82.0,45236,24,2.5,3.8,10,Sometimes,4.15,2,5.8,6.0,5,0.49,9,0,47.84
EMP0112,36,Female,Finance,Lead,31,Remote,40,23,32,8.49,24.0,70568,43,5.0,1.2,17,Often,9.98,3,7.7,2.0,7,0.43,10,0,100.0
EMP0113,36,Female,Data Science,Mid,34,Remote,51,13,12,8.66,37.0,142327,9,5.0,4.3,9,Often,5.34,6,5.9,4.0,0,0.58,5,0,80.84
EMP0114,47,Female,HR,Senior,9,Hybrid,34,17,19,4.82,84.0,145188,70,1.5,4.3,17,Rarely,8.25,2,5.8,,1,0.92,9,1,77.6
EMP0115,34,Female,HR,Lead,2,Remote,37,20,8,1.6,23.0,51352,49,3.9,1.9,29,Rarely,8.24,5,4.8,4.0,5,0.6,3,0,40.83
EMP0116,53,Male,Operations,Mid,11,Remote,37,9,38,1.01,23.0,160721,43,1.2,2.3,27,Always,9.34,2,7.3,2.0,2,0.47,5,0,100.0
EMP0117,53,Female,Data Science,Lead,30,Hybrid,53,7,9,5.71,59.0,176418,13,,2.9,0,Always,1.76,4,7.0,3.0,0,0.79,10,0,62.83
EMP0118,25,Male,Operations,Mid,28,On-site,52,11,37,4.1,82.0,90904,14,1.4,3.4,18,Often,3.44,3,7.7,3.0,5,1.0,6,1,100.0
EMP0119,51,Female,Data Science,Manager,4,Remote,48,6,9,9.97,,157141,15,4.9,2.1,15,Always,7.91,5,6.4,3.0,4,0.54,9,0,71.76
EMP0120,58,Male,Marketing,Junior,24,Hybrid,53,19,38,7.95,65.0,51108,1,4.8,3.4,25,Rarely,6.06,6,6.9,6.0,8,0.57,8,0,100.0
EMP0121,44,Female,HR,Senior,30,Hybrid,37,11,30,7.85,13.0,37853,29,1.8,2.2,6,Always,6.04,7,6.9,4.0,5,0.98,2,0,100.0
EMP0122,36,Male,HR,Mid,20,On-site,47,11,5,9.6,52.0,119156,29,1.6,1.2,14,Often,2.5,10,,6.0,4,0.51,2,1,46.28
EMP0123,50,Female,Marketing,Mid,19,On-site,43,8,8,8.99,31.0,39176,30,2.0,1.0,28,Sometimes,3.53,8,9.3,3.0,0,0.71,5,1,59.52
EMP0124,57,Female,Engineering,Senior,21,Remote,51,19,30,3.86,95.0,135459,19,3.1,1.4,0,Never,5.69,9,7.7,6.0,0,0.54,5,0,98.16
EMP0125,34,Female,Operations,Senior,3,Remote,44,2,37,2.49,91.0,172901,48,3.3,4.2,22,Always,3.49,4,6.6,1.0,10,0.96,5,1,100.0
EMP0126,53,Male,Marketing,Junior,12,On-site,41,8,37,7.71,47.0,158225,34,1.9,4.8,20,Rarely,2.89,4,6.2,0.0,0,0.99,4,0,100.0
EMP0127,28,Female,Operations,Junior,19,Hybrid,49,22,12,4.4,38.0,153458,22,4.0,2.7,8,Sometimes,1.79,7,,0.0,6,0.89,8,0,66.88
EMP0128,43,Male,Finance,Senior,12,Hybrid,52,2,24,5.26,39.0,145893,60,2.2,3.1,1,Rarely,2.4,10,6.6,6.0,5,0.59,5,1,77.17
EMP0129,49,Male,HR,Senior,16,Hybrid,39,16,20,6.67,41.0,108927,54,4.7,1.6,16,Always,7.92,10,7.6,2.0,4,0.64,1,1,88.53
EMP0130,23,Male,Operations,Manager,32,Hybrid,44,5,25,9.17,76.0,153178,66,3.6,3.2,24,Often,7.47,9,5.8,5.0,3,0.55,10,1,100.0
EMP0131,27,Male,Data Science,Senior,0,On-site,36,21,30,4.77,75.0,75667,7,2.7,1.6,23,Never,1.41,2,5.4,4.0,10,0.93,5,1,100.0
EMP0132,49,Female,Operations,Manager,14,On-site,30,11,27,8.05,7.0,41611,39,,3.4,9,Never,2.83,6,6.3,0.0,10,0.95,1,0,100.0
EMP0133,49,Female,Finance,Senior,12,Hybrid,46,24,22,3.42,78.0,123242,58,4.3,4.7,5,Sometimes,6.04,10,6.5,6.0,7,0.65,4,0,79.95
EMP0134,41,Male,HR,Mid,16,Remote,49,10,35,7.28,25.0,119612,31,2.2,1.8,4,Never,3.9,10,7.0,4.0,10,0.79,1,1,100.0
EMP0135,51,Male,Marketing,Junior,23,On-site,47,3,16,1.01,11.0,81902,6,2.4,4.1,7,Often,8.41,8,8.3,2.0,7,0.5,6,1,44.69
EMP0136,32,Male,Finance,Senior,7,Remote,30,15,5,8.84,42.0,68043,1,,1.1,7,Rarely,8.06,5,7.8,3.0,4,0.66,6,0,60.92
EMP0137,49,Male,HR,Senior,26,Remote,42,17,13,1.27,50.0,171343,5,1.7,2.5,29,Often,9.02,5,8.1,5.0,3,0.78,1,0,54.23
EMP0138,46,Non-binary,Operations,Junior,22,On-site,30,2,7,7.41,90.0,107867,35,,1.4,4,Sometimes,6.07,8,5.6,2.0,1,0.63,8,1,63.14
EMP0139,54,Male,Engineering,Mid,7,Remote,55,3,30,1.42,81.0,112089,31,2.8,2.4,11,Sometimes,4.17,1,6.1,1.0,6,0.61,4,0,100.0
EMP0140,22,Male,Engineering,Manager,7,Remote,36,8,13,3.4,99.0,93745,44,4.2,1.7,6,Never,6.45,6,7.7,3.0,4,0.4,2,0,63.18
EMP0141,48,Male,Data Science,Mid,25,Remote,55,11,20,5.47,62.0,177645,41,4.1,2.5,12,Often,1.8,10,8.0,3.0,2,0.88,1,1,82.72
EMP0142,34,Female,HR,Mid,12,On-site,52,23,28,4.78,48.0,120970,52,4.7,2.7,12,Rarely,1.09,9,7.4,3.0,8,0.93,3,1,100.0
EMP0143,24,Non-binary,Engineering,Mid,27,Hybrid,37,21,18,2.73,,59464,8,3.1,2.2,16,Often,1.15,6,5.8,2.0,8,0.98,7,1,72.56
EMP0144,27,Female,Marketing,Junior,24,Hybrid,35,2,7,4.0,8.0,153523,48,1.4,3.6,3,Rarely,4.67,7,5.3,1.0,10,0.83,10,0,43.75
EMP0145,29,Female,HR,Mid,15,Remote,47,14,38,7.55,38.0,55662,1,3.4,4.7,17,Rarely,3.05,4,6.8,5.0,10,0.73,10,0,100.0
EMP0146,48,Female,Marketing,Mid,1,On-site,38,2,37,7.02,64.0,53228,66,4.1,2.6,9,Often,2.42,10,5.4,4.0,9,0.56,8,1,100.0
EMP0147,30,Male,Marketing,Junior,17,On-site,45,6,28,1.65,70.0,95721,10,1.4,1.8,2,Always,6.54,1,,2.0,10,1.0,5,0,94.83
EMP0148,58,Female,Engineering,Senior,16,Remote,41,17,13,7.73,89.0,173458,49,1.7,2.1,11,Often,9.96,9,8.0,0.0,7,0.75,7,1,64.16
EMP0149,54,Female,HR,Mid,29,Hybrid,30,16,17,1.48,70.0,41862,34,1.0,4.4,0,Rarely,2.6,6,6.7,0.0,0,0.81,2,0,52.46
EMP0150,45,Female,Operations,Lead,12,Remote,30,18,6,5.89,6.0,75108,14,3.4,3.3,26,Sometimes,5.92,3,4.9,2.0,11,0.81,4,0,55.86
EMP0151,36,Female,Finance,Lead,31,On-site,46,24,11,3.34,71.0,126788,30,4.5,2.8,10,Sometimes,2.08,4,5.9,4.0,2,0.91,6,0,73.94
EMP0152,53,Female,Engineering,Junior,28,Hybrid,40,17,25,6.29,79.0,115140,61,3.7,1.6,17,Never,9.41,10,7.5,0.0,1,0.41,5,1,92.98
EMP0153,53,Female,Engineering,Senior,29,On-site,40,14,23,3.35,66.0,103578,27,4.9,2.8,12,Sometimes,3.63,6,7.1,,3,0.53,6,0,92.9
EMP0154,45,Non-binary,Operations,Mid,17,Remote,50,12,29,9.86,9.0,84966,24,1.3,2.1,16,Always,8.91,6,7.2,,1,0.8,2,0,100.0
EMP0155,33,Female,HR,Lead,12,On-site,54,18,26,3.79,70.0,45386,24,4.6,4.8,7,Rarely,3.55,9,8.6,2.0,11,0.94,7,1,91.34
EMP0156,23,Female,HR,Junior,20,On-site,42,18,15,3.18,84.0,112228,0,,4.5,19,Often,8.25,4,6.9,3.0,10,0.81,8,0,67.09
EMP0157,24,Female,Marketing,Senior,29,Hybrid,42,3,37,3.51,52.0,107197,58,2.3,1.3,18,Often,2.88,5,6.9,,7,0.65,9,1,100.0
